User,Quiz1Q1,Quiz1Q2,Quiz1Q3,Quiz1Q4,Quiz1Q5,Quiz1Q6,LastAnswerTime,TotalScore,Score20Count
test,20.0,20.0,20.0,20.0,20.0,20.0,"-1 day, 6:36:49.000910",120.0,6
S66,20.0,20.0,20.0,20.0,20.0,20.0,1:47:39.019269,120.0,6
S70,20.0,20.0,20.0,20.0,20.0,20.0,1:57:03.970407,120.0,6
S62,20.0,20.0,20.0,20.0,20.0,20.0,2:00:07.039440,120.0,6
S28,20.0,20.0,20.0,20.0,20.0,20.0,2:03:06.596280,120.0,6
S35,20.0,20.0,20.0,20.0,20.0,20.0,2:11:50.781250,120.0,6
S40,20.0,20.0,20.0,20.0,20.0,20.0,2:21:24.712234,120.0,6
S60,20.0,20.0,20.0,20.0,20.0,20.0,2:24:03.327331,120.0,6
S42,20.0,20.0,20.0,20.0,20.0,20.0,2:25:15.112145,120.0,6
S27,20.0,20.0,20.0,20.0,20.0,20.0,2:28:19.830150,120.0,6
S68,20.0,20.0,20.0,20.0,20.0,20.0,2:32:37.477951,120.0,6
S15,20.0,20.0,20.0,20.0,20.0,20.0,2:33:02.394009,120.0,6
S38,20.0,20.0,20.0,20.0,20.0,20.0,2:35:17.746826,120.0,6
S49,20.0,20.0,20.0,20.0,20.0,20.0,2:40:14.286616,120.0,6
S08,20.0,20.0,20.0,20.0,20.0,20.0,2:41:55.575986,120.0,6
S26,20.0,20.0,20.0,20.0,20.0,20.0,2:54:30.745814,120.0,6
S57,20.0,20.0,20.0,20.0,20.0,16.0,1:41:30.570256,116.0,5
S59,20.0,16.0,20.0,20.0,20.0,20.0,2:24:05.664865,116.0,5
S58,20.0,20.0,20.0,20.0,12.0,20.0,2:44:06.120540,112.0,5
S55,20.0,20.0,20.0,20.0,20.0,0.0,1:34:40.198358,100.0,5
S19,20.0,20.0,20.0,0.0,20.0,20.0,2:04:42.001401,100.0,5
S25,20.0,20.0,20.0,20.0,20.0,0.0,2:11:16.427953,100.0,5
S52,20.0,20.0,20.0,20.0,20.0,0.0,2:22:01.623088,100.0,5
S46,20.0,20.0,20.0,20.0,20.0,0.0,2:24:40.031770,100.0,5
S71,20.0,20.0,20.0,20.0,20.0,0.0,2:33:59.035221,100.0,5
S36,20.0,0.0,20.0,20.0,20.0,20.0,2:41:48.190891,100.0,5
S03,20.0,20.0,20.0,20.0,20.0,0.0,2:55:23.392163,100.0,5
S53,20.0,16.0,20.0,0.0,20.0,20.0,1:56:01.789731,96.0,4
S17,20.0,16.0,20.0,20.0,20.0,0.0,2:05:30.775094,96.0,4
S48,20.0,16.0,20.0,20.0,20.0,0.0,2:21:40.995022,96.0,4
S39,20.0,16.0,20.0,20.0,20.0,0.0,2:23:41.043659,96.0,4
S44,20.0,20.0,20.0,0.0,20.0,0.0,2:15:41.874344,80.0,4
S73,20.0,20.0,0.0,20.0,20.0,0.0,2:17:01.755374,80.0,4
S43,20.0,0.0,20.0,20.0,20.0,0.0,2:21:01.323780,80.0,4
S07,20.0,20.0,0.0,20.0,0.0,20.0,2:23:52.086886,80.0,4
S33,20.0,0.0,20.0,0.0,20.0,20.0,2:27:49.227963,80.0,4
S20,20.0,20.0,20.0,0.0,20.0,0.0,2:35:39.206048,80.0,4
S41,20.0,20.0,20.0,20.0,0.0,0.0,2:35:57.711577,80.0,4
S47,20.0,20.0,20.0,0.0,20.0,0.0,2:40:53.095091,80.0,4
S37,20.0,0.0,0.0,20.0,20.0,20.0,2:43:15.030527,80.0,4
S01,20.0,20.0,20.0,0.0,20.0,0.0,2:56:11.822210,80.0,4
S23,20.0,16.0,0.0,0.0,20.0,20.0,1:47:23.729000,76.0,3
S32,20.0,0.0,20.0,0.0,20.0,12.0,2:54:09.855273,72.0,3
S50,20.0,20.0,20.0,0.0,4.0,0.0,2:46:34.161652,64.0,3
S16,20.0,0.0,20.0,0.0,20.0,0.0,1:28:20.482251,60.0,3
S13,20.0,0.0,20.0,0.0,20.0,0.0,1:36:54.549524,60.0,3
S61,20.0,0.0,20.0,0.0,20.0,0.0,2:18:36.699551,60.0,3
S67,20.0,20.0,0.0,20.0,0.0,0.0,2:19:07.434684,60.0,3
S11,20.0,0.0,20.0,0.0,20.0,0.0,2:24:52.451042,60.0,3
S09,20.0,20.0,0.0,20.0,0.0,0.0,2:25:52.475692,60.0,3
S64,20.0,20.0,0.0,0.0,0.0,20.0,2:27:08.615078,60.0,3
S10,20.0,0.0,20.0,0.0,20.0,0.0,2:27:18.943131,60.0,3
S06,20.0,0.0,20.0,0.0,20.0,0.0,2:31:03.535949,60.0,3
S72,0.0,20.0,0.0,0.0,20.0,20.0,2:43:03.268540,60.0,3
S14,20.0,0.0,0.0,0.0,16.0,20.0,2:51:26.348314,56.0,2
S54,20.0,4.0,0.0,0.0,0.0,20.0,2:43:32.560291,44.0,2
S69,20.0,0.0,0.0,0.0,0.0,20.0,2:20:03.061373,40.0,2
S65,20.0,0.0,0.0,0.0,20.0,0.0,2:41:45.367346,40.0,2
S04,20.0,0.0,20.0,0.0,0.0,0.0,2:43:08.014597,40.0,2
S02,0.0,20.0,0.0,20.0,0.0,0.0,2:46:05.469824,40.0,2
S05,20.0,0.0,0.0,0.0,8.0,0.0,0:47:38.383351,28.0,1
S22,20.0,0.0,0.0,0.0,8.0,0.0,1:23:18.818283,28.0,1
S63,20.0,0.0,0.0,0.0,0.0,0.0,0:36:04.825563,20.0,1
S18,20.0,0.0,0.0,0.0,0.0,0.0,0:38:05.311615,20.0,1
S56,20.0,0.0,0.0,0.0,0.0,0.0,1:46:03.263705,20.0,1
S30,0.0,0.0,20.0,0.0,0.0,0.0,1:57:04.884914,20.0,1
S29,16.0,0.0,0.0,0.0,0.0,0.0,0 days 00:00:00,16.0,0
S45,8.0,0.0,0.0,0.0,8.0,0.0,0 days 00:00:00,16.0,0
